"TID_TUT_ATTACK",,,,,,,,,,,,,,,,,
"TID_TUT_ATTACK_STOP","<cea4e27>STOP MOVING</c> to ATTACK!","<cea4e27>Arrêtez-vous</c> pour attaquer !","<cea4e27>BLEIB STEHEN</c>, um ANZUGREIFEN!","¡<cea4e27>Detente</c> para atacar!","<cea4e27>FERMATI</c> per ATTACCARE!","<cea4e27>STOP MET BEWEGEN</c> om AAN TE VALLEN!","Saldırmak için <cea4e27>sabit dur</c>!","<cea4e27>立ち止まると</c>攻撃できるよ！","<cea4e27>멈춰서</c> 공격하세요!","<cea4e27>ОСТАНОВИСЬ,</c> чтобы АТАКОВАТЬ!","<cea4e27>توقف عن الحركة</c> لشن الهجوم!","<cea4e27>PARE DE SE MOVER</c> para ATACAR!","<cea4e27>停止移动</c>以发起攻击！","<cea4e27>停止移動</c>，開始攻擊！","<cea4e27>BERHENTI BERGERAK</c> untuk MENYERANG!","<cea4e27>หยุดเคลื่อนที่</c>เพื่อโจมตี!","<cea4e27>Pysähdy</c>, niin voit hyökätä!"
"TID_TUT_ATTACK_COMPLETE","COINS! Grab ‘em!","Des pièces !!!","MÜNZEN!","¡MONEDAS!","MONETE!","MUNTEN!","ALTIN!","やりぃ！コインだ！","코인이에요!","МОНЕТЫ!","نقود!","MOEDAS!","金币！","金幣！","KOIN!","เหรียญ!","KOLIKOITA!"
"TID_TUT_ATTACK2","Super! Your SQUAD is getting stronger!","Super ! Votre squad devient plus forte !","Super! Dein SQUAD wird stärker!","¡Genial! Tu escuadrón se está haciendo más fuerte.","Grande! La SQUADRA sta diventando più forte!","Geweldig! Je SQUAD is sterker aan het worden!","Harika! Takımın güçleniyor!","やった！仲間が増えたね！","좋았어요! 이제 스쿼드가 더 강력해집니다!","Отлично! Твой отряд становится сильнее!","عظيم! فرقتك تزيد قوةً!","Beleza! Seu ESQUADRÃO está ficando mais forte!","太棒啦！你的小队变得更强啦！","太棒囉！你的突擊隊變得更強了！","Keren! Skuadmu semakin kuat!","เยี่ยมยอด! ก๊วนของคุณกำลังแข็งแกร่งขึ้น!","Ryhmäsi vahvistuu, mahtavaa!"
"TID_TUT_ATTACK_STOP2","<cea4e27>STOP MOVING</c> to ATTACK!","<cea4e27>Arrêtez-vous</c> pour attaquer !","<cea4e27>BLEIB STEHEN</c>, um ANZUGREIFEN!","¡<cea4e27>Detente</c> para atacar!","<cea4e27>FERMATI</c> per ATTACCARE!","<cea4e27>STOP MET BEWEGEN</c> om AAN TE VALLEN!","Saldırmak için <cea4e27>sabit dur</c>!","<cea4e27>立ち止まると</c>攻撃できるよ！","<cea4e27>멈춰서</c> 공격하세요!","<cea4e27>ОСТАНОВИСЬ,</c> чтобы АТАКОВАТЬ!","<cea4e27>توقف عن الحركة</c> لشن الهجوم!","<cea4e27>PARE DE SE MOVER</c> para ATACAR!","<cea4e27>停止移动</c>以发起攻击！","<cea4e27>停止移動</c>，開始攻擊！","<cea4e27>BERHENTI BERGERAK</c> untuk MENYERANG!","<cea4e27>หยุดเคลื่อนที่</c>เพื่อโจมตี!","<cea4e27>Pysähdy</c>, niin voit hyökätä!"
"TID_TUT_ATTACK2_COMPLETE","Open CHESTS to keep growing your Squad!","Ouvrez des coffres pour agrandir votre squad !","Öffne TRUHEN, um deinen Squad zu vergrößern!","Abre cofres para seguir añadiendo unidades a tu escuadrón.","Apri i BAULI per far crescere la squadra!","Open KISTEN om je squad uit te breiden!","Takımını büyütmeye devam etmek için sandıkları açmalısın.","宝箱を開けてスクワッドをさらに大きくしよう！","상자를 열어 스쿼드를 계속 키우세요!","Открывай СУНДУКИ, чтобы пополнять свой отряд!","افتح الصناديق لتكبير فرقتك باستمرار!","Abra BAÚS para aumentar seu esquadrão!","打开宝箱，壮大你的小队！","開啟寶箱，讓你的突擊隊更強大！","Terus buka PETI untuk mengembangkan Skuad!","เปิดหีบเพื่อเติบโตไปพร้อมกับก๊วนของคุณ!","Kasvata ryhmääsi avaamalla ARKKUJA!"
"TID_TUT_CHEST","Now open a CHEST to grow your Squad!","Ouvrez un coffre pour agrandir votre squad !","Öffne eine TRUHE, um deinen Squad zu vergrößern!","Abre un cofre para añadir unidades a tu escuadrón.","Apri un BAULE per far crescere la squadra!","Open een KIST om je squad uit te breiden!","Takımını büyütmek için bir sandık aç!","宝箱を開けてスクワッドに仲間を加えよう！","상자를 열어 스쿼드를 키우세요!","Открой сундук, чтобы увеличить отряд!","افتح صندوقًا لتكبير فرقتك!","Abra um BAÚ para aumentar seu esquadrão!","打开宝箱，壮大你的小队！","開啟寶箱，讓你的突擊隊更強大！","Buka PETI untuk mengembangkan Skuad!","เปิดหีบเพื่อสร้างก๊วนของคุณ!","Kasvata ryhmääsi avaamalla ARKKU!"
"TID_TUT_CHEST2","Open CHESTS to keep growing your Squad!","Ouvrez des coffres pour agrandir votre squad !","Öffne TRUHEN, um deinen Squad zu vergrößern!","Abre cofres para continuar añadiendo unidades a tu escuadrón.","Apri i BAULI per far crescere la squadra!","Open KISTEN om je squad uit te breiden!","Takımını büyütmeye devam etmek için sandıkları açmalısın.","宝箱を開けてスクワッドをさらに大きくしよう！","상자를 열어 스쿼드를 계속 키우세요!","Открывай СУНДУКИ, чтобы пополнять свой отряд!","افتح الصناديق لتكبير فرقتك باستمرار!","Abra BAÚS para aumentar seu esquadrão!","打开宝箱，壮大你的小队！","開啟寶箱，讓你的突擊隊更強大！","Terus buka PETI untuk mengembangkan Skuad!","เปิดหีบเพื่อเติบโตไปพร้อมกับก๊วนของคุณ!","Kasvata ryhmääsi avaamalla ARKKUJA!"
"TID_TUT_CHEST_STOP_TO_OPEN","<cea4e27>STOP MOVING</c> to buy the chest!","<cea4e27>Arrêtez-vous</c> pour acheter le coffre !","<cea4e27>BLEIB STEHEN</c>, um die Truhe zu kaufen!","<cea4e27>Detente</c> para comprar el cofre.","<cea4e27>FERMATI</c> per comprare il baule!","<cea4e27>STOP MET BEWEGEN</c> om de kist te kopen!","Sandığı satın almak için <cea4e27>sabit dur</c>!","<cea4e27>動きを止めると</c>宝箱を開けられるよ！","<cea4e27>멈춰서</c> 상자를 여세요!","<cea4e27>ОСТАНОВИСЬ,</c> чтобы купить сундук!","<cea4e27>توقف عن الحركة</c> لشراء الصندوق!","<cea4e27>PARE DE SE MOVER</c> para adquirir o baú!","<cea4e27>停止移动</c>以购买宝箱！","<cea4e27>停止移動</c>，購買寶箱！","<cea4e27>BERHENTI BERGERAK</c> untuk membeli Peti!","<cea4e27>หยุดเคลื่อนที่</c>เพื่อซื้อหีบ!","<cea4e27>Pysähdy</c>, niin voit ostaa arkun!"
"TID_TUT_COLLECT_GEM","Get the most GEMS to WIN! Good luck!","Obtenez le plus de gemmes pour gagner ! Bonne chance !","Hol dir die meisten JUWELEN, um zu GEWINNEN! Viel Glück!","¡Consigue todas las gemas posibles para ganar! ¡Buena suerte!","Prendi più GEMME degli altri per VINCERE! In bocca al lupo!","Bemachtig de meeste EDELSTENEN om te WINNEN! Veel succes!","Kazanmak için en fazla taşı sen toplamalısın! İyi şanslar!","最も多くのエメラルドを集めると勝利！グッドラック！","가장 많은 보석을 모으면 승리합니다. 행운을 빕니다!","Собери больше КРИСТАЛЛОВ, чтобы ПОБЕДИТЬ! Удачи!","اجمع أكبر عدد من الجواهر للفوز! حظًا سعيدًا!","Consiga o maior número de GEMAS para vencer. Boa sorte!","收集的宝石数量最多即可获胜！祝你好运！","收集寶石的數量最多即可獲勝！祝你好運！","Rebut PERMATA terbanyak untuk MENANG! Semoga beruntung!","เก็บอัญมณีให้ได้มากที่สุดเพื่อคว้าชัยชนะ! โชคดีนะ!","Voita hankkimalla eniten jalokiviä. Onnea matkaan!"
"TID_TUT_BRIDGE_COLLAPSE","Wow! You look ready for a <c5ac53a>GEM HUNT</c>!","Ouah ! Vous êtes prêt pour une <c5ac53a>CHASSE AUX GEMMES</c> !","Wow! Du scheinst bereit für eine <c5ac53a>JUWELENJAGD</c> zu sein!","¡Hala! Parece que está todo listo para empezar con <c5ac53a>Atrapagemas</c>.","Wow! Hai tutte le carte in regola per una bella <c5ac53a>CACCIA ALLE GEMME</c>!","Wauw! Je lijkt klaar te zijn voor een <c5ac53a>EDELSTENENJACHT</c>!","Etkileyici! Bir <c5ac53a>taş avı</c> için hazır görünüyorsun!","やるぅ！<c5ac53a>エメラルドハント</c>に挑戦できそうだね！","우와! <c5ac53a>보석 사냥</c>을 할 준비가 된 것 같군요!","Ура! Кажется, ты справишься с <c5ac53a>ОХОТОЙ ЗА КРИСТАЛЛАМИ</c>!","رائع! تبدو مستعدًا لبدء <c5ac53a>البحث عن الجواهر</c>!","Uau! Acho que você já consegue <c5ac53a>CAÇAR GEMAS</c>!","哇！看来你已经准备好来一场<c5ac53a>宝石争夺战</c>啦！","哇！看起來你已經準備好來一場<c5ac53a>寶石大作戰</c>囉！","Wah, kelihatannya kamu sudah siap untuk <c5ac53a>PERBURUAN PERMATA</c>!","โว้ว! เหมือนคุณเกิดมาเพื่อ<c5ac53a>ล่าอัญมณี</c>จริงๆ!","Vau! Vaikutat todellakin olevan valmiina <c5ac53a>aarrejahtiin</c>!"
"TID_TUT_ATTACKINTRO",,,,,,,,,,,,,,,,,
"TID_TUT_CHOP_TREE","You got Greg! He can CHOP TREES!","Vous avez obtenu Greg ! Il peut couper les arbres !","Du hast Greg dabei! Er kann BÄUME FÄLLEN!","¡Has conseguido a Greg! Puede talar árboles.","Hai trovato Greg! È un maestro ad ABBATTERE GLI ALBERI!","Je kreeg Greg! Hij kan BOMEN OMHAKKEN!","Takıma Greg katıldı! Özelliği AĞAÇ KESEBİLMESİ!","グレッグが加わったね！木を切るのが得意だよ！","그렉입니다! 그렉은 나무를 벨 수 있어요!","Ты получаешь Грега! Он может РУБИТЬ ДЕРЕВЬЯ!","حصلت على غريغ! يستطيع تقطيع الأشجار!","Você ganhou o Greg. Ele CORTA ÁRVORES!","你获得了格雷格！他可以砍伐树木！","你獲得格雷格囉！他很會砍樹！","Greg bergabung! Dia bisa MENEBANG POHON!","คุณมีเกร็กอยู่! เขาสามารถตัดต้นไม้ได้นะ!","Sait Gregin! Hän voi HAKATA PUITA!"
"TID_TUT_STOP_TO_CHOP_TREE","<cea4e27>STOP MOVING</c> to chop the tree!","<cea4e27>Arrêtez-vous</c> pour couper l'arbre !","<cea4e27>BLEIB STEHEN</c>, um den Baum zu fällen!","<cea4e27>Detente</c> para talar el árbol.","<cea4e27>FERMATI</c> per abbattere l'albero!","<cea4e27>STOP MET BEWEGEN</c> om de boom om te hakken!","Ağacı kesmek için <cea4e27>sabit dur</c>!","<cea4e27>立ち止まると</c>木を切れるよ！","<cea4e27>멈춰서</c> 나무를 베세요!","<cea4e27>ОСТАНОВИСЬ,</c> чтобы срубить дерево!","<cea4e27>توقف عن الحركة</c> لقطع شجرة!","<cea4e27>PARE DE SE MOVER</c> para cortar a árvore!","<cea4e27>停止移动</c>就可以开始砍树啦！","<cea4e27>停止移動</c>就可以開始砍樹囉！","<cea4e27>BERHENTI BERGERAK</c> untuk menebang pohon!","<cea4e27>หยุดเคลื่อนที่</c>เพื่อตัดต้นไม้!","<cea4e27>Pysähdy</c>, niin voit hakata puun!"
"TID_TUT_CHOP_TREE_COMPLETE",,,,,,,,,,,,,,,,,
"TID_TROPHIES","Trophies","Trophées","Trophäen","Trofeos","Trofei","Trofeeën","Kupa","トロフィー","트로피","Трофеи","الكؤوس","Troféus","奖杯","獎盃","Trofi","ถ้วยรางวัล","Pokaalit"
"TID_XP_LEVEL","Exp Level","Niveau d'EXP","EP-Level","Nivel de XP","Livello XP","XP-level","Deneyim Seviyesi","XPレベル","XP 레벨","Ур. опыта","مستوى الخبرة","Nível de XP","经验等级","經驗等級","Level XP","เลเวลค่าประสบการณ์","Kokemustaso"
"TID_ID","ID","ID","ID","ID","ID","ID","Kod","ID","ID","ID","المعرف","ID","ID","ID","ID","ID","Tunnus"
"TID_PLAYER_PROFILE","PLAYER PROFILE","PROFIL","SPIELERPROFIL","PERFIL DEL JUGADOR","PROFILO DEL GIOCATORE","SPELERSPROFIEL","OYUNCU PROFİLİ","プレイヤープロフィール","플레이어 프로필","ПРОФИЛЬ ИГРОКА","ملف اللاعب","PERFIL DO JOGADOR","玩家简介","玩家資料","PROFIL PEMAIN","ประวัติผู้เล่น","PELAAJAPROFIILI"
"TID_AVATAR_EXP","Exp","Exp","Erf.","XP","XP","XP","Deneyim","XP","XP","Опыт","الخبرة","XP","经验","經驗","XP","ค่าประสบการณ์","Kokemus"
"TID_ALLROUNDER","All-Rounder","Tout-terrain","Allround","Todoterreno","Tuttofare","Alleskunner","Genel","オールラウンダー","만능형","Универсал","فئة مقاتل شامل","Versátil","全面型","全面型","Serba Bisa","สายรอบด้าน","Yleistaituri"
"TID_ATTACKER","Attacker","Attaquant","Offensive","Atacante","Attaccante","Aanvaller","Saldırı","アタッカー","공격형","Атака","فئة مهاجم","Atacante","输出型","輸出型","Penyerang","สายโจมตี","Hyökkääjä"
"TID_DEFENDER","Defender","Défenseur","Defensive","Defensor","Difensore","Verdediger","Savunma","ディフェンダー","방어형","Оборона","فئة مدافع","Defensor","防御型","防禦型","Pelindung","สายป้องกัน","Puolustaja"
"TID_SPEEDSTER","Speedster","Sprinteur","Sprint","Veloz","Sprinter","Snelheidsduivel","Hız","スピードスター","기동형","Ускорение","فئة مقاتل سريع","Ágil","敏捷型","敏捷型","Sprinter","สายว่องไว","Kiituri"
"TID_SUPPORT_HEALER","Healer","Soigneur","Heilung","Sanador","Guaritore","Genezer","İyileştirme","ヒーラー","치유형","Исцеление","فئة معالج","Curador","治疗型","治療型","Penyembuh","สายเยียวยา","Parantaja"
"TID_SUPPORT_ECONOMY","Supplier","Soutien","Unterstützung","Apoyo","Aiutante","Helper","Destek","サポーター","지원형","Поддержка","فئة داعم","Suporte","辅助型","輔助型","Pendukung","สายสนับสนุน","Vahvistus"
"TID_DPS_TOOLTIP","Damage per second dealt by this character","Dégâts par seconde du perso","Schaden, der pro Sekunde von diesem Charakter verursacht wird","Este es el daño por segundo que inflige este personaje.","Danni al secondo causati dal personaggio","De schade per seconde die dit personage aanricht.","Bu karakterin saniye başına verdiği hasar","毎秒ダメージです","이 캐릭터가 입힌 초당 피해량입니다.","Урон, наносимый персонажем в секунду","الضرر في الثانية من هذه الشخصية","Dano por segundo do personagem","该角色的每秒伤害","該角色的每秒傷害","Kerusakan per detik yang ditimbulkan oleh karakter ini","ความเสียหายต่อวินาทีที่ตัวละครนี้ทำได้","Tämän hahmon tuhovoima sekunnissa"
"TID_TURBO","Turbo","Turbo","Turbo","Turbo","Turbo","Turbo","Turbo","ターボ","터보","Турбоускоритель","الحذاء التوربيني","Turbo","疾速","渦輪","Turbo","เทอร์โบ","Turbo"
"TID_SPELLS_LEVEL_UP","Spells","Sorts","Zauber","Hechizos","Incantesimi","Spreuken","Büyüler","呪文","마법","Заклинания","التعويذات","Feitiços","法术","法術","Mantra","อาคม","Loitsut"
"TID_SKIN","Skin","Skin","Skin","Aspecto","Skin","Skin","Kostüm","スキン","스킨","Скин","مظهر","Visual","皮肤","造型","Kostum","สกิน","Asu"
"TID_SKINS","Skins","Skins","Skins","Aspectos","Skin","Skins","Kostümler","スキン","스킨","Скины","المظاهر","Visuais","皮肤","造型","Kostum","สกิน","Asut"
"TID_EMOTES","Emotes","Émotes","Emotes","Reacciones","Reazioni","Emotes","İfadeler","スタンプ","이모티콘","Эмодзи","التعبيرات","Emotes","表情","表情","Emote","อีโมจิ","Emootiot"
"TID_SHOP_LOCKED","Shop opens on EXP level <exp>",,,,,,,,,,,,,,,,
"TID_DUO_LOCKED","Multiplayer mode opens later","Mode multijoueur disponible plus tard","Der Multiplayermodus ist später verfügbar.","El modo multijugador se desbloquea más adelante.","La modalità multigiocatore sarà disponibile in seguito.","De multiplayermodus wordt later beschikbaar.","Çok oyunculu mod daha ileride açılıyor","マルチプレイモードはまだアンロックできません","멀티플레이어 모드는 나중에 열립니다.","Многопользовательский режим откроется позже","سيفتح وضع اللعب متعدد اللاعبين لاحقًا","Modo multijogador disponível mais tarde","多人模式稍后开放","多人模式稍後開放","Mode multipemain akan terbuka kemudian","โหมดผู้เล่นหลายคนจะเปิดในภายหลัง","Moninpelitila avautuu myöhemmin."
"TID_SKIN_SELECTED","<name> skin selected","Skin <name> sélectionné","Skin ausgewählt: <name>","Has seleccionado el aspecto <name>.","Skin di <name> selezionata","Geselecteerde skin: <name>","<name> kostüm seçildi","「<name>」スキンを選択しました","<name> 스킨 선택됨","Выбран скин «<name>»","تم تحديد مظهر <name>","Visual selecionado: <name>","已选择<name>皮肤","已選擇<name>造型","<name> kostum dipilih","เลือกสกิน <name> แล้ว","Asu (<name>) valittu"
"TID_SKIN_BOUGHT","<name> skin bought","Skin <name> acheté","Skin gekauft: <name>","Has comprado el aspecto <name>.","Skin di <name> acquistata","Gekochte skin: <name>","<name> kostüm satın alındı","「<name>」スキンを購入しました","<name> 스킨 구매됨","Куплен скин «<name>»","تم شراء مظهر <name>","Visual adquirido: <name>","已购买<name>皮肤","已購買<name>造型","<name> kostum dibeli","ซื้อสกิน <name> แล้ว","Asu (<name>) ostettu"
"TID_SKIN_DEFAULT","Default","Normal","Standard","Por defecto","Predefinita","Standaard","Varsayılan","デフォルト","기본","По умолчанию","الوضع الافتراضي","Padrão","默认","預設","Default","ตั้งต้น","Oletus"
"TID_SKIN_GOBLIN_NINJA","Ninja","Ninja","Ninja","Ninja","Ninja","Ninja","Ninja","忍者","닌자","Ниндзя","النينجا","Ninja","忍者","忍者","Ninja","นินจา","Ninja"
"TID_SKIN_GREG_CHEF","Chef","Chef","Koch","Chef","Chef","Chef","Aşçı","シェフ","요리사","Повар","الطاهي","Chef","大厨","大廚","Chef","เชฟ","Kokki"
"TID_SKIN_COLT_HALLOWEEN","Night Stalker","Loup-garou","Nachtschleicher","Cazador nocturno","Uomo lupo","Nachtstalker","Gece Avcısı","ナイトハンター","나이트 헌터","Ночной охотник","وحش الليل","Caçador noturno","夜行侠","暗夜使者","Penguasa Malam","ผู้สะกดรอยราตรี","Yökyöpeli"
"TID_SKIN_SHELLY_SHERIFF","Cowgirl","Cowgirl","Cowgirl","Vaquera","Cowgirl","Cowgirl","Kovboy Kız","カウガール","카우걸","Ковбой","راعية البقر","Vaqueira","女牛仔","牛仔女孩","Koboi","โคบาลสาว","Lehmityttö"
"TID_SKIN_WITCH_FOREST","Druid","Druidesse","Druide","Druida","Druida","Druïde","Şaman","ドルイド","드루이드","Друид","ساحرة الغابة","Druida","森林女神","森林賢者","Druid","ผู้วิเศษ","Druidi"
"TID_SKIN_CHICKEN_TUXEDO","Tuxedo","Costard","Smoking","Esmoquin","Elegantona","Smoking","Smokin","タキシード","턱시도","Смокинг","التوكسيدو","Chique","礼服","燕尾雞","Tuksedo","ทักซิโด้","Smokki"
"TID_SKIN_CHICKEN_KARATE","Blackbelt","Judoka","Schwarzgurt","Karateca","Cintura nera","Zwarte band","Siyah Kuşak","黒帯","검은띠","Чёрный пояс","دجاجة الكاراتيه","Faixa Preta","黑带","功夫雞","Sabuk Hitam","สายดำ","Musta vyö"
"TID_SKIN_HEAVY_FUTURE","Cyber Coach","Cyber coach","Cybercoach","Matón futurista","Allenatore cibernetico","Cybercoach","Siber Savaşçı","サイバーコーチ","사이버 코치","Кибертренер","المدرب الإلكتروني","Técnico Futurista","网络教练","網路教練","Pelatih Retro","ไซเบอร์โค้ช","Cyber-valmentaja"
"TID_SKIN_NITA_TOY","Teddy","Ourson","Teddy","Osito","Orsacchiotta","Teddybeer","Ayıcık","テディ","테디","Игрушка","تيدي","Ursinho","泰迪熊","泰迪熊","Boneka Beruang","เท็ดดี้","Teddy"
"TID_SKIN_BEAR_TOY","Teddy","Ourson","Teddy","Osito","Orsacchiotto","Teddybeer","Ayıcık","テディ","테디","Игрушка","تيدي","Ursinho","泰迪熊","泰迪熊","Boneka Beruang","เท็ดดี้","Teddy"
"TID_SKIN_MEDIC_EXPLORER","Explorer","Explorateur","Entdecker","Explorador","Esploratore","Verkenner","Kaşif","探検家","탐험가","Исследователь","المستكشف","Explorador","探险家","探險家","Penjelajah","นักสำรวจ","Tutkimusmatkailija"
"TID_SKIN_BATTLEHEALER_DEMON","Infernal","Infernale","Inferno","Curandera demoníaca","Demonietta","Duivels","Zebani","デビル","악마","Адский","معالجة الجحيم","Diabólica","恶魔","煉獄惡魔","Inferno","โลกันตร์","Paholaismainen"
"TID_SKIN_DYNAMIKE_SAMURAI","Samurai Mike","Samurai","Samurai Mike","Samurái","Samurai","Samurai","Samuray Mike","侍 マイク","사무라이 마이크","Самурай Майк","مايك الساموراي","Samurai","武士麦克","爆破武士","Mike Samurai","ซามูไรไมค์","Samurai-Mike"
"TID_SKIN_BO HOGHUNTER","Boar Hunter","Chasseur","Wildschweinjäger","Bo cazajabalíes","Cacciatore","Varkensjager","Domuz Avcısı","猪ハンター","멧돼지 사냥꾼","Охотник на кабанов","صياد الخنازير","Caçador de Javali","野猪猎人","野豬獵人","Pemburu Babi","นักล่าหมูป่า","Karjunmetsästäjä"
"TID_TUTORIAL_CHARACTER_NAME","???","???","???","¿?","???","???","???","？？？","???","???","؟؟؟","?","???","???","???","???","???"
"TID_AI_0","Nasman","Nazeman","Nasman","Nasman","Nasman","Nasman","Nasman","Nasman","Nasman","Nasman","Nasman","Nasman","纳斯曼","納斯曼","Nasman","Nasman","Nasman"
"TID_AI_1","Jillybean","OkieDokie","Jillybean","Jillybean","Jillybean","Jillybean","Jillybean","Jillybean","Jillybean","Jillybean","Jillybean","Jujuba","吉利豆","吉利豆","Jillybean","Jillybean","Jillybean"
"TID_AI_2","Enigmaz","Enigmaz","Enigmaz","Enigmaz","Enigmaz","Enigmaz","Enigmaz","Enigmaz","Enigmaz","Enigmaz","Enigmaz","Enigma","神秘人","秘密客","Enigmaz","Enigmaz","Enigmaz"
"TID_AI_3","Kiki","Kiki","Kiki","Kiki","Kiki","Kiki","Kiki","Kiki","Kiki","Kiki","Kiki","Kiki","琦琦","琪琪","Kiki","Kiki","Kiki"
"TID_AI_4","Scarecrow","Pantoufle","Scarecrow","Scarecrow","Scarecrow","Scarecrow","Scarecrow","Scarecrow","Scarecrow","Scarecrow","Scarecrow","Espantalho","稻草人","稻草人","Scarecrow","Scarecrow","Scarecrow"
"TID_AI_5","Simpe","Simplet","Simpe","Simpe","Simpe","Simpe","Simpe","Simpe","Simpe","Simpe","Simpe","Simpe","辛普","辛普","Simpe","Simpe","Simpe"
"TID_AI_6","Cookie","Cookie","Cookie","Cookie","Cookie","Cookie","Cookie","Cookie","Cookie","Cookie","Cookie","Biscoito","曲奇","餅乾人","Cookie","Cookie","Cookie"
"TID_AI_7","Royal Tomato","Royale Tomate","Royal Tomato","Royal Tomato","Royal Tomato","Royal Tomato","Royal Tomato","Royal Tomato","Royal Tomato","Royal Tomato","Royal Tomato","Tomate Real","皇室西红柿","皇室番茄","Royal Tomato","Royal Tomato","Royal Tomato"
"TID_AI_8","Wintermute","Supermute","Wintermute","Wintermute","Wintermute","Wintermute","Wintermute","Wintermute","Wintermute","Wintermute","Wintermute","Dilema","冬寂","冬默","Wintermute","Wintermute","Wintermute"
"TID_AI_9","Mk","Mk","Mk","Mk","Mk","Mk","Mk","Mk","Mk","Mk","Mk","Mk","Mk","Mk","Mk","Mk","Mk"
"TID_AI_10","Sisyphus","Sisyphe","Sisyphus","Sisyphus","Sisyphus","Sisyphus","Sisyphus","Sisyphus","Sisyphus","Sisyphus","Sisyphus","Sísifo","西西弗斯","薛西弗斯","Sisyphus","Sisyphus","Sisyphus"
"TID_AI_11","Eggsandwitch","Sorciflette","Eggsandwitch","Eggsandwitch","Eggsandwitch","Eggsandwitch","Яичный бутер","Eggsandwitch","Eggsandwitch","Eggsandwitch","Eggsandwitch","Sanduba","鸡蛋三明治","雞蛋三明治","Eggsandwitch","Eggsandwitch","Eggsandwitch"
"TID_AI_12","Toshism","Starbébé","Toshism","Toshism","Toshism","Toshism","Toshism","Toshism","Toshism","Toshism","Toshism","Toshismo","托什主义","托什主義","Toshism","Toshism","Toshism"
"TID_AI_13","Denny","Denny","Denny","Denny","Denny","Denny","Denny","Denny","Denny","Denny","Denny","Denny","丹尼","丹尼","Denny","Denny","Denny"
"TID_AI_14","Mamakun","Mamakun","Mamakun","Mamakun","Mamakun","Mamakun","Mamakun","Mamakun","Mamakun","Mamakun","Mamakun","Mamakun","玛玛昆","瑪瑪昆","Mamakun","Mamakun","Mamakun"
"TID_AI_15","Koala B","Koala B","Koala B","Koala B","Koala B","Koala B","Koala B","Koala B","Koala B","Koala B","Koala B","Coala","考拉B","無尾熊B","Koala B","Koala B","Koala B"
"TID_AI_16","Kangatron","Kangatron","Kangatron","Kangatron","Kangatron","Kangatron","Kangatron","Kangatron","Kangatron","Kangatron","Kangatron","Kangatron","袋鼠金刚","袋鼠金剛","Kangatron","Kangatron","Kangatron"
"TID_AI_17","MochaJoe","MochaJoe","MochaJoe","MochaJoe","MochaJoe","MochaJoe","MochaJoe","MochaJoe","MochaJoe","MochaJoe","MochaJoe","MochaJoe","摩卡乔","摩卡喬","MochaJoe","MochaJoe","MochaJoe"
"TID_AI_18","Hez","Hez","Hez","Hez","Hez","Hez","Hez","Hez","Hez","Hez","Hez","Hez","赫兹","赫茲","Hez","Hez","Hez"
"TID_AI_19","Vivi","Vivi","Vivi","Vivi","Vivi","Vivi","Vivi","Vivi","Vivi","Vivi","Vivi","Vivi","维维","薇薇","Vivi","Vivi","Vivi"
"TID_AI_20","Halfsteak","Demisteck","Halfsteak","Halfsteak","Halfsteak","Halfsteak","Halfsteak","Halfsteak","Halfsteak","Полу-стейк","Halfsteak","Alcatra","厚切牛排","厚切牛排","Halfsteak","Halfsteak","Halfsteak"
"TID_AI_21","Aragorn",,,,,,,,,,,,,,,,
"TID_AI_22","Watson",,,,,,,,,,,,,,,,
"TID_AI_23","Carolina",,,,,,,,,,,,,,,,
"TID_AI_24","Burger",,,,,,,,,,,,,,,,
"TID_AI_25","Malcolm",,,,,,,,,,,,,,,,
"TID_AI_26","Мега-мозг",,,,,,,,,,,,,,,,
"TID_AI_27","Gandalf",,,,,,,,,,,,,,,,
"TID_AI_28","Robocop",,,,,,,,,,,,,,,,
"TID_AI_29","Captain",,,,,,,,,,,,,,,,
"TID_AI_30","PEKKA",,,,,,,,,,,,,,,,
"TID_AI_31","Gimli",,,,,,,,,,,,,,,,
"TID_AI_32","Knizia",,,,,,,,,,,,,,,,
"TID_AI_33","MrT",,,,,,,,,,,,,,,,
"TID_AI_34","Я разраб",,,,,,,,,,,,,,,,
"TID_AI_35","Суперы",,,,,,,,,,,,,,,,
"TID_AI_36","Пройдоха",,,,,,,,,,,,,,,,
"TID_AI_37","Сигма",,,,,,,,,,,,,,,,
"TID_AI_38","ИИ",,,,,,,,,,,,,,,,
"TID_AI_39","ыыыы",,,,,,,,,,,,,,,,
"TID_AI_40","Француз",,,,,,,,,,,,,,,,
"TID_AI_41","Окн",,,,,,,,,,,,,,,,
"TID_AI_42","Сквадди",,,,,,,,,,,,,,,,
"TID_AI_43","ЧЁ ЗА",,,,,,,,,,,,,,,,
"TID_AI_44","Купить",,,,,,,,,,,,,,,,
"TID_AI_45","Lando",,,,,,,,,,,,,,,,
"TID_AI_46","Джон Коннор",,,,,,,,,,,,,,,,
"TID_AI_47","ET",,,,,,,,,,,,,,,,
"TID_AI_48","Hulk",,,,,,,,,,,,,,,,
"TID_AI_49","Бегущий",,,,,,,,,,,,,,,,
"TID_AI_50","Kirk",,,,,,,,,,,,,,,,
"TID_AI_51","Я модер",,,,,,,,,,,,,,,,
"TID_AI_52","Я разраб",,,,,,,,,,,,,,,,
